Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO3
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,BOTHSEX,PERCENT,,,,,,,,1.53492,1.89852,1.55904,1.47551,,,1.38437,,,9.2,,,ALB
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,FEMALE,PERCENT,,,,,,,,1.47468,2.12108,1.39056,1.403,,,1.23265,,,9.5,,,ALB
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,G,MALE,PERCENT,,,,,,,,1.59717,1.64189,1.74657,1.55519,,,,,,8.8,,,ALB
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,BOTHSEX,PERCENT,,,,,9.73796,,,,,,,13.77339,,,,,,,,AGO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,FEMALE,PERCENT,,,,,8.83035,,,,,,,13.11359,,,,,,,,AGO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,G,MALE,PERCENT,,,,,10.61021,,,,,,,14.50611,,,,,,,,AGO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,BOTHSEX,PERCENT,,,,,5.86885,5.62014,5.89582,,5.37199,5.60676,5.89855,6.08402,5.91209,6.1433,6.41873,,,6.48746,,ARG
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,FEMALE,PERCENT,,,,,6.35353,6.073,6.31968,,5.80748,5.86271,6.40291,6.87674,6.51022,6.77287,7.5221,,,7.44567,,ARG
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",32,Argentina,G,MALE,PERCENT,,,,,5.32517,5.11183,5.42198,,4.88409,5.32033,5.34059,5.22906,5.25681,5.44606,5.19057,,,5.4297,,ARG
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,BOTHSEX,PERCENT,,,,,,,,,,,,,54.88867,,,,,,,AUS
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,FEMALE,PERCENT,,,,,,,,,,,,,53.68333,,,,,,,AUS
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",36,Australia,G,MALE,PERCENT,,,,,,,,,,,,,56.10509,,,,,,,AUS
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,BOTHSEX,PERCENT,,,,,,,,41.9,,,,48.2,,,,,59.9,,,AUT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,FEMALE,PERCENT,,,,,,,,39.9,,,,47.6,,,,,58.8,,,AUT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",40,Austria,G,MALE,PERCENT,,,,,,,,44,,,,48.7,,,,,61.1,,,AUT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,BOTHSEX,PERCENT,,,,,,,,40.5,,,,37.7,,,,,45.2,,,BEL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,FEMALE,PERCENT,,,,,,,,39.8,,,,36.9,,,,,46.2,,,BEL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",56,Belgium,G,MALE,PERCENT,,,,,,,,41.2,,,,38.6,,,,,44.2,,,BEL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",84,Belize,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,1.98046,,,,,,BLZ
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",84,Belize,G,FEMALE,PERCENT,,,,,,,,,,,,,,2.72596,,,,,,BLZ
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",68,Bolivia (Plurinational State of),G,BOTHSEX,PERCENT,,,,,,,,9.09926,6.13429,7.36189,,6.65588,7.04353,6.94037,7.73454,5.59703,6.30194,5.38196,,BOL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",68,Bolivia (Plurinational State of),G,FEMALE,PERCENT,,,,,,,,10.08556,6.02644,6.62078,,6.41442,6.82292,6.41448,7.83339,5.31183,5.96742,5.38096,,BOL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",68,Bolivia (Plurinational State of),G,MALE,PERCENT,,,,,,,,7.99114,6.095,8.16139,,6.91263,7.28717,7.5115,7.62886,5.89729,6.66223,5.38304,,BOL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",70,Bosnia and Herzegovina,G,BOTHSEX,PERCENT,,,,,,,2.17778,2.15767,2.13076,1.90902,2.11273,2.18184,2.23761,,1.74418,,8.7,,,BIH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",70,Bosnia and Herzegovina,G,FEMALE,PERCENT,,,,,,,2.02557,2.03539,2.15464,1.86016,1.978,2.13504,2.30169,,1.63634,,8.5,,,BIH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",70,Bosnia and Herzegovina,G,MALE,PERCENT,,,,,,,2.29241,2.28263,2.02114,,2.17342,2.15668,2.17297,,,,8.9,,,BIH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",72,Botswana,G,BOTHSEX,PERCENT,,,,,,,,,,3.32667,,,,,,,,,,BWA
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",72,Botswana,G,FEMALE,PERCENT,,,,,,,,,,3.39421,,,,,,,,,,BWA
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",72,Botswana,G,MALE,PERCENT,,,,,,,,,,3.24813,,,,,,,,,,BWA
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",96,Brunei Darussalam,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,1.53148,,,,,BRN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",96,Brunei Darussalam,G,MALE,PERCENT,,,,,,,,,,,,,,,1.47714,,,,,BRN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",100,Bulgaria,G,BOTHSEX,PERCENT,,,,,,,,36.4,,,,26,,,,,24.6,,,BGR
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",100,Bulgaria,G,FEMALE,PERCENT,,,,,,,,35,,,,24.6,,,,,24.7,,,BGR
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",100,Bulgaria,G,MALE,PERCENT,,,,,,,,37.9,,,,27.5,,,,,24.5,,,BGR
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",108,Burundi,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,1.52528,,,,,BDI
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",108,Burundi,G,FEMALE,PERCENT,,,,,,,,,,,,,,,0.82017,,,,,BDI
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",116,Cambodia,G,BOTHSEX,PERCENT,0.52016,0.52903,,,,,,0.60694,0.59041,,0.70761,,1.17967,,,,,,,KHM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",116,Cambodia,G,FEMALE,PERCENT,0.50764,0.34087,,,,,,,,,,,0.71805,,,,,,,KHM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",116,Cambodia,G,MALE,PERCENT,0.53518,0.63808,,,,,,0.70582,0.59041,,1.16375,,,,,,,,,KHM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",120,Cameroon,G,BOTHSEX,PERCENT,,,,,,,,1.82257,,,,,,,,,,,,CMR
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",120,Cameroon,G,MALE,PERCENT,,,,,,,,2.15896,,,,,,,,,,,,CMR
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",124,Canada,G,BOTHSEX,PERCENT,,,,,,,,,,,,,57.74635,,,,,,,CAN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",124,Canada,G,FEMALE,PERCENT,,,,,,,,,,,,,57.10773,,,,,,,CAN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",124,Canada,G,MALE,PERCENT,,,,,,,,,,,,,58.38972,,,,,,,CAN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",152,Chile,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,47.09336,,,,CHL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",152,Chile,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,41.70011,,,,CHL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",152,Chile,G,MALE,PERCENT,,,,,,,,,,,,,,,,52.52633,,,,CHL
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",184,Cook Islands,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,0.83373,,,
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",184,Cook Islands,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,1.5148,,,
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",384,Côte d'Ivoire,G,BOTHSEX,PERCENT,,,,,,,,,,,,,3.81833,2.94685,,,,,,CIV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",384,Côte d'Ivoire,G,FEMALE,PERCENT,,,,,,,,,,,,,2.63174,2.31326,,,,,,CIV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",384,Côte d'Ivoire,G,MALE,PERCENT,,,,,,,,,,,,,4.92929,3.50592,,,,,,CIV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",191,Croatia,G,BOTHSEX,PERCENT,,,,,,,,21.2,,,,,,,,,31.8,,,HRV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",191,Croatia,G,FEMALE,PERCENT,,,,,,,,21.1,,,,,,,,,31.1,,,HRV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",191,Croatia,G,MALE,PERCENT,,,,,,,,21.4,,,,,,,,,32.5,,,HRV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",196,Cyprus,G,BOTHSEX,PERCENT,,,,,,,,40.6,,,,42.3,,,,,48.1,,,CYP
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",196,Cyprus,G,FEMALE,PERCENT,,,,,,,,38.2,,,,41.5,,,,,40.4,,,CYP
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",196,Cyprus,G,MALE,PERCENT,,,,,,,,43,,,,43.1,,,,,56.6,,,CYP
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",203,Czechia,G,BOTHSEX,PERCENT,,,,,,,,37.6,,,,37.1,,,,,46.1,,,CZE
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",203,Czechia,G,FEMALE,PERCENT,,,,,,,,33.6,,,,37,,,,,42.6,,,CZE
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",203,Czechia,G,MALE,PERCENT,,,,,,,,41.6,,,,37.2,,,,,49.5,,,CZE
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",180,Democratic Republic of the Congo,G,BOTHSEX,PERCENT,,,,,,2.90837,,,,,,,2.82773,,,,,,,COD
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",180,Democratic Republic of the Congo,G,FEMALE,PERCENT,,,,,,1.70627,,,,,,,1.67313,,,,,,,COD
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",180,Democratic Republic of the Congo,G,MALE,PERCENT,,,,,,4.16797,,,,,,,4.05406,,,,,,,COD
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",208,Denmark,G,BOTHSEX,PERCENT,,,,,,,,44.5,,,,58.5,,,,,50.4,,,DNK
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",208,Denmark,G,FEMALE,PERCENT,,,,,,,,45.1,,,,61.8,,,,,52.6,,,DNK
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",208,Denmark,G,MALE,PERCENT,,,,,,,,43.9,,,,55.2,,,,,48.3,,,DNK
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",214,Dominican Republic,G,BOTHSEX,PERCENT,6.7878,6.07368,7.04923,7.10516,6.72118,,,,,7.63362,7.10462,7.40866,7.47534,8.2787,8.95633,8.15924,7.59324,6.27417,,DOM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",214,Dominican Republic,G,FEMALE,PERCENT,8.19521,7.30396,8.50234,8.80701,7.97211,,,,,9.48628,9.07511,8.97512,8.7883,9.92668,11.06007,10.32167,9.503,8.0238,,DOM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",214,Dominican Republic,G,MALE,PERCENT,5.21526,4.74096,5.49015,5.26429,5.38304,,,,,5.69201,5.02829,5.75013,6.08353,6.50935,6.74494,5.81906,5.5586,4.41272,,DOM
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",218,Ecuador,G,BOTHSEX,PERCENT,4.19511,4.00207,,3.51248,3.97677,,,,,4.7971,5.257,4.31103,4.09387,3.60805,3.23828,2.90147,3.08215,35.07959,3.32518,ECU
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",218,Ecuador,G,FEMALE,PERCENT,4.00703,4.13185,,3.2873,3.72817,,,,,5.34449,5.77347,4.59453,4.44647,3.97472,3.30099,3.06867,3.26914,30.38283,3.48717,ECU
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",218,Ecuador,G,MALE,PERCENT,4.39448,3.86712,,3.7521,4.2465,,,,,4.1914,4.68159,3.9951,3.70548,3.20191,3.16917,2.71945,2.87919,40.17193,3.14872,ECU
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",818,Egypt,G,BOTHSEX,PERCENT,,,,,,,,,0.30876,0.30491,0.32886,0.27229,0.30102,0.29417,0.32023,0.46505,0.7227,0.66102,,EGY
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",818,Egypt,G,FEMALE,PERCENT,,,,,,,,,0.18746,0.15264,,0.16913,,0.1902,0.21029,0.29039,0.41382,0.34808,,EGY
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",818,Egypt,G,MALE,PERCENT,,,,,,,,,0.42888,0.46666,0.4407,0.37202,0.41914,0.39942,0.42964,0.63602,1.02425,,,EGY
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",222,El Salvador,G,BOTHSEX,PERCENT,,,,,,,,,,,2.07355,2.02367,2.11133,2.13825,2.0318,,,,,SLV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",222,El Salvador,G,FEMALE,PERCENT,,,,,,,,,,,2.04455,1.87809,2.03229,2.01897,,,,,,SLV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",222,El Salvador,G,MALE,PERCENT,,,,,,,,,,,,,2.20476,2.28819,2.46574,,,,,SLV
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",233,Estonia,G,BOTHSEX,PERCENT,,,,,,,,42.1,,,,49.9,,,,,44,,,EST
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",233,Estonia,G,FEMALE,PERCENT,,,,,,,,46.7,,,,53.3,,,,,50.7,,,EST
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",233,Estonia,G,MALE,PERCENT,,,,,,,,36.9,,,,46.1,,,,,37,,,EST
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",748,Eswatini,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,2.27764,,,SWZ
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",748,Eswatini,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,2.22395,,,SWZ
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",748,Eswatini,G,MALE,PERCENT,,,,,,,,,,,,,,,,,2.31527,,,SWZ
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",231,Ethiopia,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,3.57308,,,,,,ETH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",231,Ethiopia,G,FEMALE,PERCENT,,,,,,,,,,,,,,2.41221,,,,,,ETH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",231,Ethiopia,G,MALE,PERCENT,,,,,,,,,,,,,,4.79646,,,,,,ETH
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",242,Fiji,G,BOTHSEX,PERCENT,,,,,,,,,,,,1.91829,,,,,0.93715,,,FJI
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",242,Fiji,G,FEMALE,PERCENT,,,,,,,,,,,,1.70881,,,,,,,,FJI
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",242,Fiji,G,MALE,PERCENT,,,,,,,,,,,,,,,,,0.71779,,,FJI
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",246,Finland,G,BOTHSEX,PERCENT,,,,,,,,55,,,,55.7,,,,,54.1,,,FIN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",246,Finland,G,FEMALE,PERCENT,,,,,,,,61.3,,,,63.1,,,,,60.2,,,FIN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",246,Finland,G,MALE,PERCENT,,,,,,,,48.9,,,,48.5,,,,,48,,,FIN
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",250,France,G,BOTHSEX,PERCENT,,,,,,,,35.1,,,,50.5,,,,,51.3,,,-99
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",250,France,G,FEMALE,PERCENT,,,,,,,,33.8,,,,50.8,,,,,53.8,,,-99
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",250,France,G,MALE,PERCENT,,,,,,,,36.4,,,,50.2,,,,,48.7,,,-99
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",268,Georgia,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,1.61582,,GEO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",268,Georgia,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,1.96888,,GEO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",268,Georgia,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,1.23425,,GEO
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",276,Germany,G,BOTHSEX,PERCENT,,,,,,,,45.4,,,,50.2,,,,,52,,,DEU
